name,scn_name,bus,carrier,e_nom,e_nom_extendable,e_nom_max,e_initial,e_cyclic,capital_cost,e_nom_opt
77111 central_heat_store,eGon2035,77111,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,1035.0847571121965
77112 central_heat_store,eGon2035,77112,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,1072.770559055589
77113 central_heat_store,eGon2035,77113,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,1072.1074575586422
77114 central_heat_store,eGon2035,77114,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,31.65405985018583
77115 central_heat_store,eGon2035,77115,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,970.2157938371419
77116 central_heat_store,eGon2035,77116,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,1096.6171607459999
77117 central_heat_store,eGon2035,77117,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,1114.0031503238529
77118 central_heat_store,eGon2035,77118,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,1031.1697026065378
77119 central_heat_store,eGon2035,77119,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,36.210420355949395
77120 central_heat_store,eGon2035,77120,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,1039.6676687296606
77121 central_heat_store,eGon2035,77121,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,1112.490007415181
77122 central_heat_store,eGon2035,77122,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,31.408548196705087
77123 central_heat_store,eGon2035,77123,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,1023.4887213153769
77124 central_heat_store,eGon2035,77124,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,1094.1559371156525
77125 central_heat_store,eGon2035,77125,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,1034.8120876019375
77126 central_heat_store,eGon2035,77126,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,271.7739439437385
77127 central_heat_store,eGon2035,77127,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,1117.3166334448724
77128 central_heat_store,eGon2035,77128,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,1334.0852275366994
77129 central_heat_store,eGon2035,77129,central_heat_store,0.0,True,inf,0.0,False,0.7075806700525911,1256.3227377802937
