name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
69,eGon2035,20,48697,power_to_H2,0.0,True,inf,461.22415334238485,0.0,,0.6999999999999998,0.0,0.0,0.0,193.07836587344056,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
70,eGon2035,20,51439,central_resistive_heater,1.172917251225061,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.172917251225061,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
71,eGon2035,20,52041,rural_heat_pump,5980.587531871823,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,5980.587531871823,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
72,eGon2035,20,69925,BEV_charger,10994.050459682941,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,10994.050459682941,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
73,eGon2035,20,77083,power_to_H2,0.0,True,inf,461.2241533423848,0.0,,0.7,0.0,0.0,0.0,0.07555411564422428,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
74,eGon2035,20,77098,central_heat_pump,228.27308594446063,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,228.27308594446063,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
75,eGon2035,20,77098,central_resistive_heater,258.93292557259036,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,258.93292557259036,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
76,eGon2035,21,42816,dsm,144.73136874753885,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,144.73136874753885,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
77,eGon2035,21,48810,power_to_H2,0.0,True,inf,461.2241533423849,0.0,,0.7,0.0,0.0,0.0,2.789577063864258,,0.0,31.0,0.0,0.0,1.0,0.0,,,,,,
78,eGon2035,21,52086,rural_heat_pump,1267.1972982659101,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1267.1972982659101,,0.0,inf,0.0,0.0,1.0,0.0,,,,,,
