name,bus0,bus1,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,terrain_factor,num_parallel,v_ang_min,v_ang_max,geom,s_nom_mod
15744,11517,11516,AC,0.9992543,0.28891654,0.0,3.1643194e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,1.365793624684153,5.295368199894821,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ff48d90>,0.0
15753,11523,11522,AC,0.24763255000000003,0.07159812,0.0,7.8416954e-06,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.33852659645460836,1.3125137951196055,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85dbca050>,0.0
15756,11528,11523,AC,0.92277625,0.26680379,0.0,2.9221258e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,1.261290645448926,4.890195893453236,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa8621bbe20>,0.0
6704,11547,11546,AC,8.4774294,2.9413164,0.0,0.000373006216,1040.0,True,1040.0,6218.755219495297,1.0,0,40,41.988280744310146,53.79725230154751,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85e8090f0>,0.0
15767,11549,11546,AC,0.074708788,0.025920862,0.0,1.314874088e-05,2080.0,True,2080.0,6218.755219495297,1.0,0,40,0.7405353609870974,0.9488068324550062,1.0,3.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85e808f40>,0.0
6710,11582,11581,AC,1.49854265,0.433274985,0.0,4.745378e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,2.0481758813994144,7.941057297483113,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ff475e0>,0.0
6722,11604,11603,AC,2.03978775,0.589766705,0.0,6.4593188e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,2.784978761026639,10.797742573980294,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85d362890>,0.0
6724,11606,11603,AC,0.081489628,0.023561240999999997,0.0,6.4512602e-07,260.0,True,260.0,1554.6888048738242,1.0,0,40,0.05565630765383728,0.2157870972211108,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85d3629e0>,0.0
15539,11620,11078,AC,0.377896915,0.10926179000000001,0.0,1.19667306e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.5155996299045553,1.9990501015155309,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85d3e6c80>,0.0
6730,11621,11620,AC,0.4830223199992423,0.1396568387498362,0.0,6.1182803e-05,1040.0,True,1040.0,1554.6888048738242,1.0,0,40,1.3207894064596455,5.120880706513604,1.0,3.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85d3e6980>,0.0
6739,11639,11638,AC,0.4451946949999999,0.1287198,0.0,1.4097831e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.6084905815642503,2.359200992972846,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85c06b6a0>,0.0
28870,11647,11174,AC,3.8826601,1.12260049,0.0,3.0737751e-05,260.0,True,260.0,1554.6888048738242,1.0,0,40,2.6530689488225487,10.286310237370017,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85a159de0>,0.0
15632,11647,11239,AC,3.942301,1.13984299,0.0,3.1209893e-05,260.0,True,260.0,1554.6888048738242,1.0,0,40,2.6938666362420802,10.444488436979489,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85a15a0e0>,0.0
6757,11690,11689,AC,0.94905503,0.27440138,0.0,7.5133498e-06,260.0,True,260.0,1554.6888048738242,1.0,0,40,0.6481080084363374,2.512803161432685,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85c016f50>,0.0
15816,11713,11712,AC,0.24212503333333332,0.07000576,0.0,1.72513935e-05,780.0,True,780.0,1554.688804873824,1.0,0,40,0.4954313933992587,1.9208550973011838,1.0,3.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa8609ecfd0>,0.0
6761,11716,11715,AC,0.117860897,0.034077351,0.0,9.3306488e-07,260.0,True,260.0,1554.6888048738242,1.0,0,40,0.08040057801011359,0.311724008922926,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa86005f640>,0.0
6781,11764,11762,AC,0.30860203,0.08922661,0.0,9.7723956e-06,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.420970291907667,1.6321592490840717,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85c05f6a0>,0.0
24863,11765,11764,AC,0.566401605,0.163764425,0.0,1.79360478e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.7726803047042003,2.995786947798847,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ff44df0>,0.0
15848,11809,11808,AC,6.142952199999999,1.7761227,0.0,4.8631715e-05,260.0,True,260.0,1554.6888048738242,1.0,0,40,4.198735925102883,16.27907195912374,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa8628d90f0>,0.0
15849,11810,11715,AC,0.11469565799999999,0.033162107,0.0,9.0800699e-07,260.0,True,260.0,1554.6888048738242,1.0,0,40,0.0783985547265092,0.303961891543077,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa8628d9390>,0.0
15817,11810,11716,AC,0.099228833,0.028690189,0.0,7.8556104e-07,260.0,True,260.0,1554.6888048738242,1.0,0,40,0.06776146400239974,0.2627204397293952,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85dd170a0>,0.0
15852,11810,11809,AC,2.8260397,0.81709485,0.0,8.9491116e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,3.861418755061891,14.971247275195628,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85a2a0550>,0.0
6793,11831,11830,AC,0.030936916999999998,0.0058100328,0.0,0.000103122976,560.0,True,560.0,1554.6888048738242,1.0,0,40,0.16887036368551148,0.6547334367384576,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85be93c10>,0.0
6800,11843,11842,AC,0.022929863,0.006629747299999999,0.0,1.8152783e-07,260.0,True,260.0,1554.6888048738242,1.0,0,40,0.01564152040847455,0.06064430838751081,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85c06b160>,0.0
15799,11847,11639,AC,0.679415,0.19644047500000003,0.0,2.15148164e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,0.9286031250518523,3.6003209927559023,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85d376260>,0.0
15865,11847,11842,AC,1.4998192,0.43364464,0.0,4.7494194e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,2.050325633532369,7.949392179764567,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ff48f70>,0.0
6805,11854,11853,AC,0.9563961,0.276524325,0.0,3.0285816e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,1.3058620358009942,5.063005254128077,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ff71330>,0.0
15870,11856,11854,AC,0.8981467000000001,0.25968173,0.0,2.8441292e-05,520.0,True,520.0,1554.6888048738242,1.0,0,40,1.2262330151334804,4.7542726782756795,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ff71420>,0.0
6804,11856,11855,AC,0.059868259,0.017309776,0.0,4.73957e-07,260.0,True,260.0,1554.6888048738242,1.0,0,40,0.04083390627122856,0.15831862503835734,1.0,1.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85be99fc0>,0.0
10978,1189,1188,AC,0.11297407,0.0212168055,0.0,0.00037657862,560.0,True,560.0,1554.6888048738242,1.0,0,40,0.6172773997658363,2.393268685808721,1.0,2.0,-inf,inf,<sqlalchemy.sql.functions._FunctionGenerator object at 0x7fa85ce9d150>,0.0
